Year,Hour,Wind Speed  ,
2016,6,5.74,5.5
2016,7,5.39,5.5
2016,8,4.53,4.5
2016,9,5.41,5.5
2016,10,6.69,6.5
2016,11,6.51,6.5
2016,12,6.1,6.5
2016,13,5.59,5.5
2016,14,4.54,4.5
2016,15,4.43,4.5
2016,16,2.55,2.5
2016,17,3.71,3.5
2016,18,4.81,4.5
2016,19,6.12,6.5
2016,20,6.73,6.5
2016,21,6.11,6.5
2016,22,5.8,5.5
2016,23,5.5,5.5
2016,0,5.2,5.5
2016,1,4.7,4.5
2016,2,4.7,4.5
2016,3,4.62,4.5
2016,4,4.4,4.5
2016,5,4.42,4.5
2016,6,5.05,5.5
2016,7,5.7,5.5
2016,8,6.57,6.5
2016,9,6.82,6.5
2016,10,6.96,6.5
2016,11,7.01,7.5
2016,12,7.3,7.5
2016,13,7.69,7.5
2016,14,7.96,7.5
2016,15,8.26,8.5
2016,16,8.68,8.5
2016,17,10.13,10.5
2016,18,10.22,10.5
2016,19,9.31,9.5
2016,20,8.14,8.5
2016,21,6.54,6.5
2016,22,5.56,5.5
2016,23,5.7,5.5
2016,0,5.2,5.5
2016,1,4.7,4.5
2016,2,4.7,4.5
2016,3,4.62,4.5
2016,4,4.4,4.5
2016,5,4.42,4.5
2016,6,5.05,5.5
2016,7,5.7,5.5
2016,8,6.57,6.5
2016,9,6.82,6.5
2016,10,6.96,6.5
2016,11,7.01,7.5
2016,12,7.3,7.5
2016,13,7.69,7.5
2016,14,7.96,7.5
2016,15,8.26,8.5
2016,16,8.68,8.5
2016,17,10.13,10.5
2016,18,10.22,10.5
2016,19,9.31,9.5
2016,20,8.14,8.5
2016,21,6.54,6.5
2016,22,5.56,5.5
2016,23,5.7,5.5
2016,0,6.74,6.5
2016,1,6.82,6.5
2016,2,6.87,6.5
2016,3,6.8,6.5
2016,4,6.71,6.5
2016,5,6.3,6.5
2016,6,5.74,5.5
2016,7,5.39,5.5
2016,8,4.53,4.5
2016,9,5.41,5.5
2016,10,6.69,6.5
2016,11,6.51,6.5
2016,12,6.1,6.5
2016,13,5.59,5.5
2016,14,4.54,4.5
2016,15,4.43,4.5
2016,16,2.55,2.5
2016,17,3.71,3.5
2016,18,4.81,4.5
2016,19,6.12,6.5
2016,20,6.73,6.5
2016,21,6.11,6.5
2016,22,5.8,5.5
2016,23,5.5,5.5
2016,0,10.12,10.5
2016,1,9.14,9.5
2016,2,10.78,10.5
2016,3,14.22,14.5
2016,4,15.61,15.5
2016,5,15.32,15.5
2016,6,13.76,13.5
2016,7,13.22,13.5
2016,8,13.1,13.5
2016,9,13.24,13.5
2016,10,14.02,14.5
2016,11,14.77,14.5
2016,12,15.12,15.5
2016,13,11.14,11.5
2016,14,11.36,11.5
2016,15,11.81,11.5
2016,16,10.74,10.5
2016,17,10.97,10.5
2016,18,12.95,12.5
2016,19,14.86,14.5
2016,20,14.55,14.5
2016,21,13.96,13.5
2016,22,14.56,14.5
2016,23,14.81,14.5
2016,0,14.8,14.5
2016,1,13.74,13.5
2016,2,13.85,13.5
2016,3,13.78,13.5
2016,4,13.11,13.5
2016,5,12.21,12.5
2016,6,11.14,11.5
2016,7,10.11,10.5
2016,8,9.41,9.5
2016,9,9.4,9.5
2016,10,9.5,9.5
2016,11,9.71,9.5
2016,12,9.63,9.5
2016,13,7.51,7.5
2016,14,7.5,7.5
2016,15,7.41,7.5
2016,16,7.1,7.5
2016,17,6.61,6.5
2016,18,5.71,5.5
2016,19,4.91,4.5
2016,20,3.81,3.5
2016,21,2.25,2.5
2016,22,0.8,0.5
2016,23,2.42,2.5
2016,0,4.29,4.5
2016,1,8.1,8.5
2016,2,8.56,8.5
2016,3,8.3,8.5
2016,4,8.49,8.5
2016,5,8.27,8.5
